"","AGO","BDI","BEN","BFA","BWA","CAF","CIV","CMR","COD","COG","DJI","ERI","ETH","GAB","GHA","GIN","GMB","GNB","GNQ","KEN","LBR","LSO","MDG","MLI","MOZ","MRT","MWI","NAM","NER","NGA","RWA","SDN","SEN","SLE","SOM","SSD","SWZ","TCD","TGO","TZA","UGA","ZAF","ZMB","ZWE"
"AGO",0,0.0288162783284219,0.0262252735228195,0.0188216378894098,0.0243452596516178,0.0341110987528373,0.0200897731074697,0.0379968039226512,0,0.0971970660970003,0.0134822172659358,0.0138734540325419,0.0156249189865223,0.0487527089128988,0.0246915325200392,0.0142282722850702,0.0131004704058704,0.0137352107658217,0.0364532032551924,0.0197257436769291,0.0171621842575382,0.0198930990084556,0.0140335955960265,0.0161475687175529,0.0193730198062405,0.0123150159119376,0.0233918536915339,0.0341995219716507,0.0194838915125094,0.0255938860355403,0.026874028654394,0.0157025049819247,0.0126541192887839,0.0153878905515672,0.0143949287124927,0.0219973646628727,0.0199613241531505,0.0230833512800365,0.0254331017250573,0.021663589269101,0.0228036727600429,0.0220218707164578,0.0302114802517996,0.0249462131042842
"BDI",0.020931870855982,0,0.0124982394235404,0.0102231209128047,0.016331798763765,0.0267553485730246,0.00981241473642444,0.0184047173348428,0,0.0250945777551859,0.0173791375496484,0.0168548027116248,0.0226103350676932,0.0174555434540883,0.0114529835402291,0.00756838037963986,0.00726741684790955,0.0074812959541243,0.0162786773889244,0.0453318481457666,0.00857950271629392,0.0135841766953304,0.0149790231280974,0.00875194160384562,0.0154844920067165,0.00713411476877251,0.0307404871594681,0.0156628357565785,0.0110849184250987,0.0139150987082118,0.218448938663811,0.0184177321476194,0.00710848688241792,0.00801059524589266,0.0208910533870343,0.0421115652730916,0.0153391682862589,0.0167624472438044,0.0119730190632155,0.0505623868955302,0.0715972409684008,0.0157807328970007,0.0290924505094884,0.0242550821728021
"BEN",0.0164562887491707,0.0107966881198894,0,0.0418116035970561,0.00792261696187443,0.0191925247778693,0.038077781561387,0.0335694332046209,0,0.0185845802889644,0.00760084651897113,0.00836825424877694,0.00852632861238857,0.0338665952937285,0.0965035288446249,0.0164417932927436,0.0149955337250705,0.0160944909974667,0.0462923124405974,0.00875330774252282,0.022665024285387,0.0071015747350918,0.00600318038493411,0.0248691998158716,0.00701892564315944,0.0140808490562288,0.00825362118654229,0.00945836120943624,0.0431869300947796,0.0597821089936881,0.0107042562600952,0.00999779039957239,0.0142162495687182,0.019012654625255,0.00715320631151192,0.0103728907394044,0.00712696844281515,0.022947216929028,0.208604723175281,0.00865943571117873,0.0100514210135559,0.00751526134436361,0.0091204540057203,0.00824318709065731
"BFA",0.0153467229170852,0.0114754989969025,0.0543304359746816,0,0.0086553018903078,0.0183882247712825,0.0604213775599073,0.0254944028924471,0,0.0168095479225415,0.00905489987363226,0.0100569865395673,0.00994034653958989,0.0244229905124114,0.0572598147944992,0.0281718747577747,0.0270765030329294,0.0289918441357576,0.0294889681541685,0.00977438561537087,0.0367350817878516,0.0078909652399121,0.0068814915806783,0.0642156700085422,0.00781174504160801,0.026502360612734,0.00903154037103411,0.0100530653003498,0.103096166779127,0.0429437237283393,0.0114639599560502,0.0119045851248303,0.0255597807021315,0.032916011620711,0.00831675925389556,0.011738285881536,0.00791289880540765,0.0243763247949345,0.0579191797902182,0.0095483060356612,0.0110079816847729,0.00827759154713916,0.00976197781002679,0.00897441966165201
"BWA",0.0206367999190829,0.0190586355968535,0.0107024875066038,0.00899812298507963,0,0.0137495248068574,0.00941030104013672,0.0129484397612557,0,0.0179677721495887,0.010294169408854,0.00980905427966505,0.0114300499796172,0.0138437854238778,0.010417217278147,0.00776206308435383,0.00730619219381937,0.00754687503921996,0.0124939795538633,0.0160247004764496,0.00870927079327623,0.0863446175203972,0.0197683742730267,0.00825610562802365,0.0670919619748126,0.00696450807930522,0.0314735966088559,0.0492956373504576,0.00920446989011782,0.0106973513655583,0.0177973828393994,0.0101017971274316,0.00713419870409979,0.00814108079400575,0.0125879013695761,0.0146848208687324,0.0830309021841434,0.0107290556382956,0.0105478799212798,0.0197934578219668,0.0159180414244397,0.179073614849517,0.04321141493496,0.0490423875549959
"CAF",0.0310388144625171,0.0335158218438673,0.0278310539728684,0.0205206437882159,0.0147594156155629,0,0.0185149198410689,0.0623193077660505,0,0.0478149838215728,0.0174761376073929,0.0194615003774784,0.0214777714495767,0.0441560485013667,0.0235022903790153,0.0128483014634572,0.012309829173064,0.0127531737319503,0.0451038263501029,0.0232148974769945,0.0150968518959747,0.0127328676734994,0.0120481226419827,0.0160637894156141,0.0133174492587586,0.0121252807376943,0.0186334678709106,0.0163971821112003,0.0236635857228066,0.0358829099257514,0.0338631978210151,0.0250602300171517,0.0119767479891613,0.0138509577295811,0.0165188078857614,0.0394542429461859,0.0134025162773737,0.0516273444769364,0.0256051269337058,0.0220275575534468,0.0304638375680717,0.0140404935492508,0.0200894792413909,0.0174392151346522
"CIV",0.0164401840038598,0.0110544561619881,0.0496582496660962,0.0606406749402894,0.00908462942106611,0.0166511434416034,0,0.0234362244992753,0,0.0171052207564382,0.00829384906392222,0.0090288255674008,0.00910323298922661,0.0248600094608231,0.0771456800441593,0.0372829868157019,0.0305918245640776,0.0348966362582972,0.0277360017733781,0.00929950163098469,0.0727351627275439,0.00830213688382485,0.00686251689219718,0.0619527231348713,0.00808167349899791,0.0258644259207546,0.00904270224559039,0.010859193416348,0.0403036578132642,0.0317115365389838,0.0109501735724383,0.0104623082421824,0.0278833512860177,0.0490931490229513,0.00785365617782547,0.0107433407023028,0.00821757989951193,0.0192483027329475,0.0601267624859712,0.00926873199414899,0.0103869897879552,0.00864783029000308,0.00994737550160462,0.0091453881731753
"CMR",0.0282764380577065,0.0188554381547753,0.039811612596417,0.0232682777793017,0.0113675567590555,0.0509672073361983,0.0213124629225371,0,0,0.0406892404306657,0.0112204828858914,0.0123644098625101,0.0131025883774497,0.0893224120200374,0.0305468788046449,0.0131043948004319,0.0123029218955441,0.0129023656659733,0.13343719226634,0.0140198525461954,0.0162085444772956,0.00990775639970154,0.00860265045594751,0.0170763007898759,0.0100176823881413,0.0118844348504227,0.0127435573793391,0.0134185205182677,0.0269412787038205,0.0527709941031809,0.0186375956519453,0.0152371306165185,0.0118649117458078,0.01443101133734,0.0106976656255374,0.0192452960703645,0.0101509703281966,0.0402345412657036,0.0348412329144127,0.0138252385969923,0.0169605498753916,0.0107334902013005,0.0142179812389144,0.0124789313039066
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"COG",0.0879080583308908,0.0312453409447815,0.0267865274786599,0.0186454696532262,0.0191708699334182,0.0475258758030482,0.0189048211537271,0.0494512735924677,0,0,0.0137620472127025,0.0144146628165534,0.016282447438473,0.0592667776190816,0.0240401387603286,0.0130272604266704,0.0121315288826272,0.0126866250962011,0.0429185163096534,0.0202037155978459,0.0156955892141966,0.0159161705539412,0.0126656106176062,0.0153834172649681,0.0160770971954987,0.011564378225581,0.0212015883010305,0.0238786668213265,0.0199535247309032,0.028131790874455,0.0293493941923296,0.0168113053861789,0.0117347528368395,0.0141182938290367,0.0143095760181451,0.0253903961613185,0.0163944484458058,0.026819865039186,0.0253838246161076,0.0214458607697184,0.0245386433285765,0.0177068318604066,0.0258099603521502,0.0213470563143368
