pays_affecte,AGO,BDI,BEN,BFA,BWA,CAF,CIV,CMR,COD,COG,ETH,GAB,GHA,GIN,GMB,GNB,GNQ,KEN,LBR,LSO,MLI,MOZ,MRT,MWI,NAM,NER,NGA,RWA,SDN,SEN,SLE,SOM,SWZ,TCD,TGO,TZA,UGA,ZAF,ZMB,ZWE
AGO,-0.03337608742170587,-6.621570575646822e-5,-1.5942452841439645e-08,9.514785492283127e-10,-1.755637044093876e-4,-1.77800875703616e-4,-1.6869421933306493e-11,-1.0623087576766694e-4,0.008742831068172897,0.008852349455958981,-7.662629282098987e-8,-1.0956947894089676e-4,-1.4674753346711894e-11,-7.053089306099617e-12,8.805162516188712e-14,1.6146492291291685e-13,3.386668088301883e-6,2.060166977382133e-6,2.820101602885903e-13,1.0942278208542018e-6,7.050683052340574e-10,-6.263441210766735e-5,-7.250773559172263e-12,-6.658599876673071e-5,0.008852744691627558,-5.7193759987594136e-8,1.0659022076264976e-6,-6.481489751518514e-5,2.1816170038116727e-6,-7.0495400111315515e-12,6.754259486678372e-14,-3.0570249508080595e-8,1.7461689130425982e-6,3.2651847034946526e-6,2.3931151992806095e-10,-1.310815396371772e-4,-6.624787116197285e-5,-1.051265476164393e-4,0.008744147729932565,-1.7434836772872798e-4
BDI,-8.828760767529096e-5,-0.033382762223642816,7.229229839699702e-10,1.4836670519494378e-10,1.3151128021232193e-6,-8.969768787524052e-5,-3.1638547829960206e-12,2.1891454583754815e-6,0.01162386137384456,-8.828822776087166e-5,1.2661874643362391e-6,1.0813842805485547e-6,-1.238205547321987e-12,-1.6042129825148086e-12,1.9926174885895752e-14,3.6623902680094724e-14,-4.529764842508422e-8,-8.514500986952806e-5,5.5730385876427406e-14,-8.344593649205875e-9,1.5956578654830454e-10,-8.758352469525758e-5,-1.640941863268289e-12,-8.844870822970519e-5,2.706824484998712e-6,-1.2888507387604034e-8,-3.607363597323135e-8,0.011710976505659181,1.0805647496785365e-6,-1.595318279119384e-12,1.5537569107823716e-14,1.3030111414788552e-6,9.032836443453174e-7,1.0758042572930959e-6,-1.2805527349772424e-11,0.011624345869635372,-3.6300144562168176e-4,8.016962326165936e-7,-1.7743815059602676e-4,2.2341131551280586e-6
BEN,-1.5942452841439635e-8,5.421922379774775e-10,-0.033538394059197334,0.008633794488371664,-9.115841887294939e-12,4.382613688858669e-6,-8.218490040785823e-5,-1.3468627585379057e-4,-7.101718470553724e-8,1.3200204432181527e-6,-6.263194363437506e-8,1.342514532956051e-6,-2.727264676212044e-4,3.0410273740379074e-6,-2.4538453726723028e-8,-5.6191512179592096e-8,1.3739577670688292e-6,1.251654773344805e-9,9.965059820939044e-7,2.793872847880699e-14,-1.975657058806043e-4,-9.788911734176635e-12,2.0318583054440327e-6,-1.003195738417358e-11,2.4297094919382893e-10,0.008695172886882664,0.008813381896821569,5.310361660292855e-10,3.005777029670357e-6,1.964583970367309e-6,-5.2397667573549e-8,1.284288700108038e-9,1.2982830630935715e-13,-2.449250680602255e-4,0.008833338127984838,5.012051990022423e-10,5.22650140769607e-10,-2.6841778410251368e-12,7.969234294061609e-10,-8.983838387768947e-12
BFA,6.343190328188751e-10,7.418335259747188e-11,0.00575586299224778,-0.033552356779408814,-3.7900306691083e-13,8.212954286243414e-7,0.005767798413699713,3.3867053971386196e-6,-9.714126652683372e-9,-4.4743751935281376e-8,-1.800366821025435e-8,-3.361333853954269e-8,0.00575372290538212,-1.3042476152171415e-4,7.157774085902602e-7,2.073326056587687e-6,-3.45513673622688e-8,3.616768005295387e-10,-7.07729983803585e-5,-1.5690970202398614e-15,0.0058046360153731135,-1.0029946605260231e-12,-5.970277872175774e-5,-1.016455514107508e-12,-1.040669833969461e-11,0.005798273081230365,-1.6145048504383593e-4,7.27041214059813e-11,8.640148041894465e-7,-5.730617091557332e-5,2.8308545930496478e-6,3.69141714629688e-10,8.870746069824358e-15,-6.996555976304502e-5,0.005735519774689206,6.595661376783875e-11,6.853648946532232e-11,1.5074900260193405e-13,6.558694185876125e-11,-3.672327318867576e-13
BWA,-1.755637044093876e-4,9.863346015924147e-7,-9.115841887294942e-12,-5.685046003662454e-13,-0.03339318137764111,4.662628584563163e-7,1.3177866039385398e-14,-4.547569324339197e-8,-6.483177457619691e-5,3.2426709062681863e-6,-7.154109104202525e-9,-4.0069765997739903e-8,2.6679097526772882e-15,7.144445598600447e-15,-8.860529810090887e-17,-1.629694935950018e-16,1.307487759236053e-9,4.803968477863981e-7,-2.3679293591244697e-16,-9.066244555071918e-5,-7.095488154504551e-13,-2.62102583509256e-4,7.296856050376018e-15,-6.474749492502869e-5,0.00865130930469829,5.723678702704791e-11,5.382539414849537e-10,9.655950309508945e-7,-5.6093984728391875e-9,7.093867864587282e-15,-6.943479518309808e-17,-7.3515107357759765e-9,-8.793430555852618e-5,-5.2428172394614856e-9,1.4818756067280698e-13,-6.344720703195623e-5,9.788341612971178e-7,0.00871027926503475,0.008706961731624345,0.008651296203357042
CAF,-1.4224070056289282e-4,-5.381861272514432e-5,3.5060909510869366e-6,9.855545143492096e-7,3.73010286765053e-7,-0.033466725579609065,-2.0801093210716623e-8,0.006967069699789198,0.007051375526659992,0.007011070343117259,-1.4691699848393328e-4,-1.5792728392508132e-4,-8.64914294526091e-9,-1.0452565504383328e-8,1.2986088676299888e-10,2.386582194398747e-10,-6.923032102612345e-5,4.211767492046887e-6,3.654517084300513e-10,5.325143836003035e-10,1.0399040350010091e-6,7.946841565961674e-7,-1.069415979988901e-8,8.069771922439367e-7,2.620725739678588e-6,-8.40108673746829e-5,-1.5792407289348887e-4,-5.267943947245232e-5,0.007049784161005663,-1.0396849750741895e-8,1.0118959827277697e-10,2.9926635239249592e-6,-7.73909286171938e-9,0.00691736571442072,-6.481889160332347e-8,-5.194353000560466e-5,-5.3884371088791654e-5,-5.116064281777684e-8,-5.2488460122188915e-5,3.6345456203609156e-7
CIV,-1.34955375466452e-11,-1.8983128697976126e-12,-6.574792032628657e-5,0.006921358096439654,1.0542292831508323e-14,-2.0801093210716626e-8,-0.03352962055995999,-6.546324239388575e-8,2.4858183145402994e-10,9.259600122014248e-10,4.515355635556404e-10,6.489647432689378e-10,0.007066410556403247,0.006924743815770068,1.7559872012362178e-6,-7.032140435498372e-5,6.678757374702927e-10,-9.070053189300104e-12,0.00706868028048249,3.49123842171314e-17,0.006995564675800772,2.5992975084278942e-14,-7.105855550376072e-5,2.6356667175112027e-14,2.2387999705841362e-13,-1.4389584767306393e-4,2.8026019069107853e-6,-1.8604142955558863e-12,-2.1669663003578264e-8,-1.4058686607306157e-4,-2.1922854975553853e-4,-9.258160918989295e-12,-2.3563998460754823e-16,1.7549529844874855e-6,-2.1811953641141959e-4,-1.690340112644272e-12,-1.7567020479635722e-12,-3.3541629557001696e-15,-1.7205616026174806e-12,1.0234982650881667e-14
CMR,-7.082058384511127e-5,1.0945727291877408e-6,-8.97908505691937e-5,3.3867053971386183e-6,-3.031712882892799e-8,0.0058058914164909985,-5.455270199490477e-8,-0.03362735801295397,-1.434034849854517e-4,0.005757157551461909,3.0188506674414963e-6,0.0056920667054287605,-6.30471579905934e-8,-1.9910482734163844e-8,2.4960514651176445e-10,4.5684684357432845e-10,0.005827450296929435,-8.62140780328309e-8,8.827296367706975e-10,1.3038871413451624e-10,1.9986154744797678e-6,-2.4377038096469925e-8,-2.055332907848221e-8,-2.513929967591999e-8,1.0894867570644675e-6,-1.6269177796286686e-4,0.00587709958620279,1.0714038792026567e-6,-1.4485921298364044e-4,-1.9983747762564586e-8,1.888656094092113e-10,-6.149839557298752e-8,3.8412132383175475e-10,0.005786714529398039,1.367966722289516e-6,1.0477648985657946e-6,1.0959187903617035e-6,-1.252693004497728e-8,2.2050395197021873e-6,-2.996432118723934e-8
COD,0.00437141553408645,0.00435894801519171,-3.5508592352768655e-8,-7.2855949895125325e-9,-3.2415887288098443e-5,0.0044071097041624985,1.5536364465876869e-10,-1.0755261373908876e-4,-0.03348819823379243,0.0043372995092322095,2.662606261464563e-6,-5.312464717279277e-5,6.079946440751146e-11,7.877684694952961e-11,-9.784990689979934e-13,-1.7984614812124055e-12,2.2253940729751463e-6,-1.0099080901830435e-4,-2.7366924009619665e-12,-2.9430967581096213e-8,-7.8356721646248e-9,-6.513233484676735e-5,8.05804474771031e-11,-6.617738222539854e-5,-1.014275997290543e-4,6.329057333065252e-7,1.771989121679095e-6,0.004266742058666683,-5.444216305325167e-5,7.834004568426857e-11,-7.629917415294253e-13,1.5213420134995766e-6,6.485101847009711e-7,-5.2829344762765854e-5,6.289636608918824e-10,0.004202516327345984,0.0043605247855991475,2.827542816811859e-6,0.004361537339881033,-3.162686906916833e-5
COG,0.007081879564767185,-5.2972936656522966e-5,1.0560163545745227e-6,-5.369250232233767e-8,2.594136725014549e-6,0.007011070343117261,9.259600122014248e-10,0.006908589061754291,0.006939679214771534,-0.03348980005047105,1.7662670106662777e-6,0.007068345587445635,8.792768792495608e-10,3.7342946841917476e-10,-4.666861577910664e-12,-8.553766672158797e-12,-2.1905343278874682e-4,1.1844406034630884e-6,-1.534112249583859e-11,-1.3311456781681049e-8,-3.736923035252618e-8,1.5866439222192075e-6,3.8429722430489377e-10,1.6489259045885815e-6,-1.0938204097828102e-4,3.0340066608166157e-6,-7.000710065012592e-5,-5.185239702090754e-5,-8.565136740339065e-5,3.736356638438752e-10,-3.567543649994755e-12,-5.526167201970939e-8,-2.982631397851337e-8,-1.5664220575175067e-4,-1.5947029350093454e-8,-5.023097477798737e-5,-5.299142933829333e-5,1.2788812974167882e-6,-1.6310916543707502e-4,2.5692100677253775e-6
