iso3,annee,cluster
AGO,1996,NS
BDI,1996,NS
BEN,1996,NS
BFA,1996,NS
BWA,1996,NS
CAF,1996,NS
CIV,1996,NS
CMR,1996,NS
COD,1996,NS
COG,1996,NS
DJI,1996,NS
ERI,1996,NS
ETH,1996,NS
GAB,1996,NS
GHA,1996,NS
GIN,1996,NS
GMB,1996,NS
GNB,1996,NS
GNQ,1996,NS
KEN,1996,NS
LBR,1996,NS
LSO,1996,NS
MDG,1996,NS
MLI,1996,NS
MOZ,1996,NS
MRT,1996,NS
MWI,1996,NS
NAM,1996,NS
NER,1996,NS
NGA,1996,NS
RWA,1996,HH
SDN,1996,NS
SEN,1996,NS
SLE,1996,NS
SOM,1996,NS
SSD,1996,NS
SWZ,1996,NS
TCD,1996,NS
TGO,1996,NS
TZA,1996,NS
UGA,1996,NS
ZAF,1996,NS
ZMB,1996,NS
ZWE,1996,NS
AGO,1997,NS
BDI,1997,NS
BEN,1997,NS
BFA,1997,NS
BWA,1997,NS
CAF,1997,NS
CIV,1997,NS
CMR,1997,NS
COD,1997,HH
COG,1997,NS
DJI,1997,NS
ERI,1997,NS
ETH,1997,NS
GAB,1997,NS
GHA,1997,NS
GIN,1997,NS
GMB,1997,NS
GNB,1997,NS
GNQ,1997,NS
KEN,1997,NS
LBR,1997,NS
LSO,1997,NS
MDG,1997,NS
MLI,1997,NS
MOZ,1997,NS
MRT,1997,NS
MWI,1997,NS
NAM,1997,NS
NER,1997,NS
NGA,1997,NS
RWA,1997,HH
SDN,1997,NS
SEN,1997,NS
SLE,1997,NS
SOM,1997,NS
SSD,1997,NS
SWZ,1997,NS
TCD,1997,NS
TGO,1997,NS
TZA,1997,NS
UGA,1997,NS
ZAF,1997,NS
ZMB,1997,NS
ZWE,1997,NS
AGO,1998,NS
BDI,1998,NS
BEN,1998,NS
BFA,1998,NS
BWA,1998,NS
CAF,1998,NS
CIV,1998,NS
CMR,1998,NS
COD,1998,NS
COG,1998,NS
DJI,1998,NS
ERI,1998,NS
ETH,1998,NS
GAB,1998,NS
GHA,1998,NS
GIN,1998,LH
GMB,1998,NS
GNB,1998,NS
GNQ,1998,NS
KEN,1998,NS
LBR,1998,LH
LSO,1998,NS
MDG,1998,NS
MLI,1998,NS
MOZ,1998,NS
MRT,1998,NS
MWI,1998,NS
NAM,1998,NS
NER,1998,NS
NGA,1998,NS
RWA,1998,NS
SDN,1998,NS
SEN,1998,NS
SLE,1998,NS
SOM,1998,NS
SSD,1998,NS
SWZ,1998,NS
TCD,1998,NS
TGO,1998,NS
TZA,1998,NS
UGA,1998,NS
ZAF,1998,NS
ZMB,1998,NS
ZWE,1998,NS
AGO,1999,NS
BDI,1999,NS
BEN,1999,NS
BFA,1999,NS
BWA,1999,NS
CAF,1999,NS
CIV,1999,NS
CMR,1999,NS
COD,1999,NS
COG,1999,NS
DJI,1999,NS
ERI,1999,NS
ETH,1999,NS
GAB,1999,NS
GHA,1999,NS
GIN,1999,NS
GMB,1999,NS
GNB,1999,NS
GNQ,1999,NS
KEN,1999,NS
LBR,1999,NS
LSO,1999,NS
MDG,1999,NS
MLI,1999,NS
MOZ,1999,NS
MRT,1999,NS
MWI,1999,NS
NAM,1999,NS
NER,1999,NS
NGA,1999,NS
RWA,1999,LH
SDN,1999,NS
SEN,1999,NS
SLE,1999,NS
SOM,1999,NS
SSD,1999,NS
SWZ,1999,NS
TCD,1999,NS
TGO,1999,NS
TZA,1999,NS
UGA,1999,NS
ZAF,1999,NS
ZMB,1999,NS
ZWE,1999,NS
AGO,2000,NS
BDI,2000,NS
BEN,2000,NS
BFA,2000,NS
BWA,2000,NS
CAF,2000,NS
CIV,2000,NS
CMR,2000,NS
COD,2000,NS
COG,2000,NS
DJI,2000,NS
ERI,2000,NS
ETH,2000,NS
GAB,2000,NS
GHA,2000,NS
GIN,2000,NS
GMB,2000,NS
GNB,2000,NS
GNQ,2000,NS
KEN,2000,NS
LBR,2000,NS
LSO,2000,NS
MDG,2000,NS
MLI,2000,NS
MOZ,2000,NS
MRT,2000,NS
MWI,2000,NS
NAM,2000,NS
NER,2000,NS
NGA,2000,NS
RWA,2000,LH
SDN,2000,NS
SEN,2000,NS
SLE,2000,NS
SOM,2000,NS
SSD,2000,NS
SWZ,2000,NS
TCD,2000,NS
TGO,2000,NS
TZA,2000,NS
UGA,2000,NS
ZAF,2000,NS
ZMB,2000,NS
ZWE,2000,NS
AGO,2001,NS
BDI,2001,NS
BEN,2001,NS
BFA,2001,NS
BWA,2001,NS
CAF,2001,NS
CIV,2001,NS
CMR,2001,NS
COD,2001,HH
COG,2001,NS
DJI,2001,NS
ERI,2001,NS
ETH,2001,NS
GAB,2001,NS
GHA,2001,NS
GIN,2001,NS
GMB,2001,NS
GNB,2001,NS
GNQ,2001,NS
KEN,2001,NS
LBR,2001,NS
LSO,2001,NS
MDG,2001,NS
MLI,2001,NS
MOZ,2001,NS
MRT,2001,NS
MWI,2001,NS
NAM,2001,NS
NER,2001,NS
NGA,2001,NS
RWA,2001,HH
SDN,2001,NS
SEN,2001,NS
SLE,2001,NS
SOM,2001,NS
SSD,2001,NS
SWZ,2001,NS
TCD,2001,NS
TGO,2001,NS
TZA,2001,NS
UGA,2001,NS
ZAF,2001,NS
ZMB,2001,NS
ZWE,2001,NS
AGO,2002,NS
BDI,2002,NS
BEN,2002,NS
BFA,2002,NS
BWA,2002,NS
CAF,2002,NS
CIV,2002,NS
CMR,2002,NS
COD,2002,HH
COG,2002,NS
DJI,2002,NS
ERI,2002,NS
ETH,2002,NS
GAB,2002,NS
GHA,2002,NS
GIN,2002,NS
GMB,2002,NS
GNB,2002,NS
GNQ,2002,NS
KEN,2002,NS
LBR,2002,NS
LSO,2002,NS
MDG,2002,NS
MLI,2002,NS
MOZ,2002,NS
MRT,2002,NS
MWI,2002,NS
NAM,2002,NS
NER,2002,NS
NGA,2002,NS
RWA,2002,LH
SDN,2002,NS
SEN,2002,NS
SLE,2002,NS
SOM,2002,NS
SSD,2002,NS
SWZ,2002,NS
TCD,2002,NS
TGO,2002,NS
TZA,2002,NS
UGA,2002,NS
ZAF,2002,NS
ZMB,2002,NS
ZWE,2002,NS
AGO,2003,NS
BDI,2003,NS
BEN,2003,NS
BFA,2003,NS
BWA,2003,NS
CAF,2003,NS
CIV,2003,NS
CMR,2003,NS
COD,2003,NS
COG,2003,NS
DJI,2003,NS
ERI,2003,NS
ETH,2003,NS
GAB,2003,NS
GHA,2003,NS
GIN,2003,NS
GMB,2003,NS
GNB,2003,NS
GNQ,2003,NS
KEN,2003,NS
LBR,2003,NS
LSO,2003,NS
MDG,2003,NS
MLI,2003,NS
MOZ,2003,NS
MRT,2003,NS
MWI,2003,NS
NAM,2003,NS
NER,2003,NS
NGA,2003,NS
RWA,2003,LH
SDN,2003,NS
SEN,2003,NS
SLE,2003,LH
SOM,2003,NS
SSD,2003,NS
SWZ,2003,NS
TCD,2003,NS
TGO,2003,NS
TZA,2003,NS
UGA,2003,NS
ZAF,2003,NS
ZMB,2003,NS
ZWE,2003,NS
AGO,2004,NS
BDI,2004,NS
BEN,2004,NS
BFA,2004,NS
BWA,2004,NS
CAF,2004,NS
CIV,2004,NS
CMR,2004,NS
COD,2004,NS
COG,2004,NS
DJI,2004,NS
ERI,2004,NS
ETH,2004,NS
GAB,2004,NS
GHA,2004,NS
GIN,2004,NS
GMB,2004,NS
GNB,2004,NS
GNQ,2004,NS
