iso3,annee,conflits,migrants
AGO,1996,0.18030869653723355,NA
BDI,1996,1.4102406410186272,NA
BEN,1996,0,NA
BFA,1996,0,NA
BWA,1996,0,NA
CAF,1996,0,NA
CIV,1996,0.025573061011955774,NA
CMR,1996,0.02211703674331641,NA
COD,1996,0.3794004454655446,NA
COG,1996,0.06836097663011774,NA
DJI,1996,0,NA
ERI,1996,0.08980822990002839,NA
ETH,1996,0.008372785040415208,NA
GAB,1996,0,NA
GHA,1996,0,NA
GIN,1996,0.01278784081361421,NA
GMB,1996,0.07403058056845382,NA
GNB,1996,0,NA
GNQ,1996,0,NA
KEN,1996,0.032383673395082406,NA
LBR,1996,0.8707530854739469,NA
LSO,1996,0,NA
MDG,1996,0,NA
MLI,1996,0,NA
MOZ,1996,0,NA
MRT,1996,0,NA
MWI,1996,0,NA
NAM,1996,0.05897577142036198,NA
NER,1996,0.02942874020694382,NA
NGA,1996,0.004385788085811721,NA
RWA,1996,0.47694255520494117,NA
SDN,1996,0.1939354816922237,NA
SEN,1996,0.021818220616829902,NA
SLE,1996,1.218289916897681,NA
SOM,1996,0.7965253565480914,NA
SSD,1996,0,NA
SWZ,1996,0,NA
TCD,1996,0.03968718115866316,NA
TGO,1996,0,NA
TZA,1996,0.0032262503092867195,NA
UGA,1996,0.4480114429351971,NA
ZAF,1996,0.0788093887300189,NA
ZMB,1996,0,NA
ZWE,1996,0,NA
AGO,1997,0.21409324724729273,NA
BDI,1997,1.457421314668701,NA
BEN,1997,0,NA
BFA,1997,0,NA
BWA,1997,0,NA
CAF,1997,0,NA
CIV,1997,0,NA
CMR,1997,0,NA
COD,1997,0.2605415372457013,NA
COG,1997,1.0898333749986593,NA
DJI,1997,0,NA
ERI,1997,0.34938097305963933,NA
ETH,1997,0.006493050866311507,NA
GAB,1997,0,NA
GHA,1997,0,NA
GIN,1997,0,NA
GMB,1997,0,NA
GNB,1997,0,NA
GNQ,1997,0,NA
KEN,1997,0.03839676287658608,NA
LBR,1997,0.11718475112461081,NA
LSO,1997,0,NA
MDG,1997,0,NA
MLI,1997,0.009348924891026837,NA
MOZ,1997,0,NA
MRT,1997,0,NA
MWI,1997,0,NA
NAM,1997,0,NA
NER,1997,0.07421823907554927,NA
NGA,1997,0.01698485511020804,NA
RWA,1997,0.9892366536800983,NA
SDN,1997,0.2992446891700313,NA
SEN,1997,0.2961692795367892,NA
SLE,1997,1.4400041591536805,NA
SOM,1997,0.2964452162003735,NA
SSD,1997,0,NA
SWZ,1997,0,NA
TCD,1997,0.09920938644051003,NA
TGO,1997,0,NA
