iso3,annee,z_conflits,lag_z,cluster
AGO,1996,0.09688447700200346,-0.06764322896351785,NS
BDI,1996,3.8705003732988144,0.42276616619628876,NS
BEN,1996,-0.45632967972140986,-0.43039266709565743,NS
BFA,1996,-0.45632967972140986,-0.42820404882290336,NS
BWA,1996,-0.45632967972140986,-0.3506432893178096,NS
CAF,1996,-0.45632967972140986,-0.09658849949010609,NS
CIV,1996,-0.3778676884017394,0.08583756773119702,NS
CMR,1996,-0.38847128982590123,-0.3988356414889885,NS
COD,1996,0.7077278589861955,0.4256239127449421,NS
COG,1996,-0.24658793811101493,-0.09930366265610441,NS
DJI,1996,-0.45632967972140986,-0.3057126312106345,NS
ERI,1996,-0.18078454448880552,-0.24942563251782066,NS
ETH,1996,-0.4306407179324635,0.11263460204984978,NS
GAB,1996,-0.45632967972140986,-0.3637963025527753,NS
GHA,1996,-0.45632967972140986,-0.43017568261485306,NS
GIN,1996,-0.4170946638409863,0.6361538531644779,NS
GMB,1996,-0.2291927418618165,-0.38938810257317474,NS
GNB,1996,-0.45632967972140986,-0.40324138320708053,NS
GNQ,1996,-0.45632967972140986,-0.42240048477365555,NS
KEN,1996,-0.356971706906341,0.314472993630172,NS
LBR,1996,2.215271541661201,0.8288681251668916,NS
LSO,1996,-0.45632967972140986,-0.21453064082057657,NS
MDG,1996,-0.45632967972140986,0,NS
MLI,1996,-0.45632967972140986,-0.41050794998479356,NS
MOZ,1996,-0.45632967972140986,-0.4143800698357286,NS
MRT,1996,-0.45632967972140986,-0.4228588911472923,NS
MWI,1996,-0.45632967972140986,-0.45303013958365845,NS
NAM,1996,-0.2753831570078421,-0.29732704059656057,NS
NER,1996,-0.36603788565004103,-0.42928518216458317,NS
NGA,1996,-0.44287342328976903,-0.38635057589156735,NS
RWA,1996,1.0070016989108266,1.2625084687632724,HH
SDN,1996,0.13869350010041123,-0.3717296140466012,NS
SEN,1996,-0.38938810257317474,-0.4030552889734065,NS
SLE,1996,3.2815667277434004,0.8990884389101075,NS
