Variable,"Modèle principal
(Log conflits)",R2 — Log décès
ρ (spatial lag Y),"-0.0224
(-0.665)","-0.0277
(-0.795)"
NA,"0.7362***
(36.569)",NA
Log migrants (t-1),"0.0052
(0.409)","0.0311
(0.669)"
Log PIB/hab,"0.0239
(0.874)","0.0696
(0.697)"
Démocratie,"-0.0096***
(-3.817)","-0.0387***
(-4.228)"
Log ressources,"0.0326**
(2.162)","0.142***
(2.615)"
W × Log migrants,"0.0477**
(2.083)","0.221***
(2.696)"
W × Log PIB/hab,"0.0228
(0.626)","-0.0713
(-0.537)"
W × Démocratie,"-4e-04
(-0.094)","-0.0176
(-1.233)"
W × Log ressources,"-0.029
(-1.268)","-0.1043
(-1.262)"
τ — Conflits (t-1),NA,"0.6216***
(28.423)"
